,X,MIG,ID1,ID2,LOC1,LOC2,DAY,MONTH,YEAR,MUS,MUSID,BLENGTH,BWIDTH,BDEPTH,BW4MM,PRIM9,PRIM6,TAIL,TARSUS,TOE,WEIGHT,KIND,SUBSP,LONG,LAT,Reg,K5,K5cur
1,1,1,1,1,MINNESOTA,OTTER,17,JE,1956,LSUMZ,22480,9.2,3.2,3.2,1.7,61.3,60.5,41.6,18,12.4,NA,YELLOW,AESTIVA,-94,46,ywar5,ywar5,ywar5
2,7,1,7,1,GEORGIA,ATHENS,9,JE,1929,LSUMZ,8400,9.3,3.6,3.1,1.6,58.3,57.4,41,16.7,14.5,NA,YELLOW,AESTIVA,-82,32,NA,NA,ywar5
3,8,1,8,1,GEORGIA,ATHENS,10,JL,1941,LSUMZ,8396,9.2,3.4,3.2,1.8,63.2,60.7,46.6,17.7,12.6,NA,YELLOW,AESTIVA,-82,32,NA,NA,ywar5
4,10,1,10,1,GEORGIA,ATHENS,3,JE,1934,LSUMZ,8398,9.6,3.5,3,1.8,62.1,59.9,42.7,17.1,12.5,NA,YELLOW,AESTIVA,-82,32,NA,NA,ywar5
5,30,1,30,1,LOUISIANA,CAMER,2,JE,1982,LSUMZ,105470,9.1,3.6,2.7,1.7,59.6,56.6,44.1,17.5,13.4,9.4,YELLOW,AESTIVA,-92,28,NA,NA,NA
6,44,1,44,2,YUKON,TERRITORY,2,JE,1957,LSUMZ,47454,7.7,3.4,2.6,1.1,59.8,58.7,44.8,18.2,12,NA,YELLOW,AMNICOLA,-138,66,ywar1,ywar1,ywar1
7,45,1,45,2,YUKON,TERRITORY,2,JE,1957,LSUMZ,47453,7.7,2.8,2.7,1.2,60.9,58.9,47.5,18.6,13.8,NA,YELLOW,AMNICOLA,-138,66,ywar1,ywar1,ywar1
8,46,1,46,2,YUKON,TERRITORY,12,JE,1957,LSUMZ,61835,8.9,3.2,2.9,1.6,62.3,63.1,45.9,18.9,14.5,NA,YELLOW,AMNICOLA,-138,66,ywar1,ywar1,ywar1
9,47,1,47,2,YUKON,TERRITORY,12,JE,1957,LSUMZ,47458,8.7,3.2,2.9,1.2,63.8,62.2,45.6,17.8,13,NA,YELLOW,AMNICOLA,-138,66,ywar1,ywar1,ywar1
10,51,1,51,3,ALASKA,KENAIPE,7,JL,1957,LSUMZ,47461,9.6,3.5,2.8,1.7,61.7,59.7,43,19.1,12.7,NA,YELLOW,RUBIGINOSA,-149.5,60.5,NA,NA,ywar4
11,58,1,58,4,WASHINGTON,OKAN,21,JE,1942,LSUMZ,3245,8.9,3,2.7,1.5,58.3,58.1,43.2,16.2,10.6,NA,YELLOW,MORCOMI,-118,48,ywar3,ywar3,ywar3
12,234,1,234,-3,IOWA,PALOALTO,NA,JE,1881,ANSP,28780,10.1,3.8,2.9,1.7,62.6,63.4,47.7,18.5,12.1,NA,YELLOW,AESTIVA?,-94,42,ywar5,ywar5,ywar5
